University,Score,Country,League
Grigore T. Popa University of Medicine and Pharmacy,31.935,Romania,World League
Don State Technical University,31.917,Russia,World League
Kosygin University,31.509,Russia,World League
"California State University, Long Beach",31.507,USA,World League
Ufa State Petroleum Technological University (USPTU),31.497,Russia,World League
University of Samarra,31.491,Iraq,World League
Mordovia State University,31.437,Russia,World League
University of Mosul,31.286,Iraq,World League
Tver State University,31.222,Russia,World League
Volgograd State University,31.122,Russia,World League
Al-Kitab University,31.033,Iraq,World League
Chung Hua University,31.028,Taiwan,World League
Russian New University,30.965,Russia,World League
University of Quebec at Chicoutimi,30.915,Canada,World League
Transilvania University of Brasov,30.814,Romania,World League
Ural State University of Economics,30.659,Russia,World League
Marmara University,30.545,Turkey,World League
Sergo Ordzhonikidze Russian State University for Geological Prospecting,30.540,Russia,World League
Institute of Telecommunications and Informatics of Turkmenistan,30.502,Turkmenistan,World League
Taiyuan University of Technology,30.493,China,World League
Uruk University,30.486,Iraq,World League
Prigo University,30.455,Czech Republic,World League
Universidad de Guadalajara,30.413,Mexico,World League
Wenzhou University,30.379,China,World League
"``George Emil Palade`` University of Medicine, Pharmacy, Science, and Technology  of Targu Mures",30.375,Romania,World League
Democritus University of Thrace,30.216,Greece,World League
Polzunov Altai State Technical University,30.194,Russia,World League
I-Shou University,30.135,Taiwan,World League
Kindai University,30.031,Japan,World League
University of Diyala,30.004,Iraq,World League
Saint Petersburg State University of Architecture and Civil Engineering,29.889,Russia,World League
Suleyman Demirel University - Kazakhstan,29.855,Kazakhstan,World League
Shibaura Institute of Technology,29.838,Japan,World League
Rey Juan Carlos University,29.599,Spain,World League
European University Skopje,29.469,North Macedonia,World League
Russian State University for the Humanities,29.402,Russia,World League
Moscow State Technology University Stankin,29.322,Russia,World League
Beni-Suef University,29.275,Egypt,World League
Odessa National Academy of Food Technologies,29.228,Ukraine,World League
Dunarea de Jos University of Galati,29.208,Romania,World League
Tatung University,29.181,Taiwan,World League
Tamkang University,29.150,Taiwan,World League
Azerbaijan University of Architecture and Construction,29.115,Azerbaijan,World League
Lipetsk State Technical University,28.967,Russia,World League
Platov South-Russian State Polytechnic University,28.826,Russia,World League
ESIC Business and Marketing School,28.776,Spain,World League
University of AL-Qadisiyah,28.462,Iraq,World League
Western Caspian University,28.407,Azerbaijan,World League
Volgograd State Technical University,28.154,Russia,World League
Al-Ahliyya Amman University,28.062,Jordan,World League
Pacific National University,28.016,Russia,World League
University of Misan,27.976,Iraq,World League
National Chiayi University,27.965,Taiwan,World League
Omsk State Agrarian University,27.750,Russia,World League
Novgorod State University,27.696,Russia,World League
Orel State Agrarian University,27.672,Russia,World League
British University in Egypt,27.662,Egypt,World League
University of Tikrit,27.640,Iraq,World League
Ninevah University,27.621,Iraq,World League
Lucian Blaga University of Sibiu,27.479,Romania,World League
Kafrelsheikh University,27.403,Egypt,World League
Emperor Alexander I St.Petersburg State Transport University,27.210,Russia,World League
Ulyanovsk State University,27.201,Russia,World League
Vladimir State University named after Alexander and Nikolay Stoletovs,27.118,Russia,World League
Al-Qasim green university Iraq,27.100,Iraq,World League
Ming Chuan University,27.039,Taiwan,World League
Bursa Uludag University,26.937,Turkey,World League
Technical University of Cluj-Napoca,26.642,Romania,World League
Tunghai University,26.565,Taiwan,World League
NED University of Engineering and Technology,26.542,Pakistan,World League
Ostrogradskiy National University of Kremenchuk,26.538,Ukraine,World League
Ubon Ratchathani University,26.192,Thailand,World League
Eurecom (Grande Ecole),26.176,France,World League
Istanbul Gelisim University,25.710,Turkey,World League
Mahasarakham University,25.567,Thailand,World League
Al-Mustaqbal University College,25.524,Iraq,World League
University of Dubrovnik,25.349,Croatia,World League
University of Telafer,25.394,Iraq,World League
Chaoyang University of Technology,25.277,Taiwan,World League
Tra Vinh University,24.800,Vietnam,World League
National University of Kaohsiung,24.588,Taiwan,World League
University of Thi-Qar,24.562,Iraq,World League
Imam Ja`afar Al-Sadiq University,24.559,Iraq,World League
Togliatti State University,24.266,Russia,World League
Tanta University,24.085,Egypt,World League
University of Kerbala,23.922,Iraq,World League
Suleyman Demirel University,23.870,Turkey,World League
Taif University,23.818,Saudi Arabia,World League
Mari State University,23.727,Russia,World League
Guizhou University,23.724,China,World League
Al-Kunooze University College,23.627,Iraq,World League
Zonguldak Bulent Ecevit University,23.474,Turkey,World League
Islamic University in Najaf,23.378,Iraq,World League
Al-Maarif University College,23.167,Iraq,World League
October 6 University (O6U),23.116,Egypt,World League
Magnitogorsk State Technical University,23.005,Russia,World League
Istanbul Aydin University,22.854,Turkey,World League
Azerbaijan State University of Economics (UNEC),22.831,Azerbaijan,World League
Belgorod State Technological University,22.804,Russia,World League
EA Buketov Karaganda State University,22.664,Kazakhstan,World League
Poltava National Technical Yuri Kondratyuk University,22.631,Ukraine,World League
National Formosa University,22.559,Taiwan,World League
Al-Muthanna University,22.495,Iraq,World League
Siberian State University of Water Transport,22.413,Russia,World League
Kozma Minin Nizhny Novgorod State Pedagogical University,22.315,Russia,World League
Istanbul Medipol University,22.071,Turkey,World League
Iraq University College,21.907,Iraq,World League
Novosibirsk State University of Economics and Management,21.865,Russia,World League
Voronezh State Technical University,21.577,Russia,World League
Interdisciplinary Center Herzliya (IDC Herzliya),21.546,Israel,World League
Can Tho University,21.294,Vietnam,World League
Al-Farabi University College,21.045,Iraq,World League
Al-Furat Al-Awsat Technical  University,20.971,Iraq,World League
Chelyabinsk State University,20.850,Russia,World League
National Institute of Higher Education,20.822,Belarus,World League
Behalf of Basrah University College of Science and Technology,20.676,Iraq,World League
South Ukrainian National Pedagogical University named after K.D. Ushynsky,20.256,Ukraine,World League
Kirov Saint Petersburg State Lesotechnic University,20.133,Russia,World League
Middle Technical University,20.025,Iraq,World League
University of the Thai Chamber of Commerce,19.648,Thailand,World League
Rostov State University of Economics,19.619,Russia,World League
University of Ahl al-Bayt,19.463,Iraq,World League
Al-Yarmouk University College,19.311,Iraq,World League
Omsk State Pedagogical University,18.955,Russia,World League
Soochow University (Taiwan),18.911,Taiwan,World League
University of Petra (UOP),18.761,Jordan,World League
Al-Noor University College,18.686,Iraq,World League
Northern Technical University,18.590,Iraq,World League
Shakarim University,18.405,Kazakhstan,World League
Al-Karkh University of Science,18.223,Iraq,World League
Madenat Al-elem University College,18.181,Iraq,World League
Kherson State Maritime Academy,18.001,Ukraine,World League
Azerbaijan Technical University,18.000,Azerbaijan,World League
University of Al-Ameed,17.875,Iraq,World League
Dijlah University College,17.798,Iraq,World League
Arab American University (AAUP),17.787,State of Palestine,World League
Jabir Ibn Hayyan Medical University,17.519,Iraq,World League
Bilad Alrafidain University College,17.266,Iraq,World League
Kocaeli University,16.934,Turkey,World League
University of Kirkuk,16.597,Iraq,World League
University of Al-Hamdaniya,16.594,Iraq,World League
Kuban State Technological University,16.153,Russia,World League
Canadian International College,16.056,Egypt,World League
Kabardino-Balkarian State University,16.001,Russia,World League
Al-Iraqia University,15.037,Iraq,World League
Al-Kut University College,14.953,Iraq,World League
Murmansk Arctic State University,14.825,Russia,World League
University of Sumer,14.624,Iraq,World League
Al-Farahidi University College,14.502,Iraq,World League
Al-Amarah University College,14.411,Iraq,World League
Savannah College of Art and Design,13.467,USA,World League
Al-Bayan University,12.195,Iraq,World League
Karaganda University of Kaspotrebsoyuz,12.168,Kazakhstan,World League
Southern Technical University,12.091,Iraq,World League
Al-Esraa University College,11.635,Iraq,World League
University of Alkafeel,11.532,Iraq,World League
Voronezh Institute of High Technologies,11.346,Russia,World League
Baghdad College Of Economic Sciences University,11.108,Iraq,World League
Mazaya University College,10.777,Iraq,World League
Al-Ayen University,9.763,Iraq,World League
Al-Imam University College,9.438,Iraq,World League
National University for Science and Technology,9.362,Iraq,World League
Ashur University College,9.048,Iraq,World League
University College in Baghdad Iraq,7.954,Iraq,World League
Universitas Bakrie,7.599,Indonesia,World League
Al-Mansour University College,7.513,Iraq,World League
Altoosi University College,7.339,Iraq,World League
Al-Hikma University College,5.434,Iraq,World League
University of Warith Alanbiyaa,4.644,Iraq,World League
Imam Al-Kadhum College,4.232,Iraq,World League
